time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T01:17:35.796Z,37.1736,37.032,17.925,7.8,mww,118,32,1.919,1.06,us,us6000jllz,2023-02-07T02:09:30.798Z,"26 km E of Nurda??, Turkey",earthquake,5.83,3.676,0.05,38,reviewed,us,us
2023-02-06T01:26:49.248Z,37.0538,37.086,17.004,5.6,mb,64,124,0.154,0.81,us,us6000jlnn,2023-02-07T01:33:23.621Z,"23 km NE of Musabeyli, Turkey",earthquake,5.59,4.868,0.087,47,reviewed,us,us
2023-02-06T01:28:15.989Z,37.1272,36.9426,14.497,6.7,mww,108,44,0.218,0.73,us,us6000jlm1,2023-02-07T01:35:56.901Z,"",earthquake,9.73,3.825,0.098,10,reviewed,us,us
2023-02-06T01:36:28.018Z,37.0175,36.7443,10,5.6,mb,87,75,1.964,1.19,us,us6000jlm9,2023-02-07T01:41:24.006Z,"16 km S of Nurda??, Turkey",earthquake,6.22,1.783,0.042,196,reviewed,us,us
2023-02-06T01:48:12.420Z,37.9874,38.1051,10,4.9,mb,56,96,1.081,1.03,us,us6000jlmd,2023-02-07T01:51:45.040Z,"12 km WSW of Çelikhan, Turkey",earthquake,6.23,1.9,0.09,39,reviewed,us,us
2023-02-06T01:51:43.834Z,37.43,37.0869,10.564,4.7,mb,49,86,0.275,0.59,us,us6000jm4n,2023-02-07T01:31:21.040Z,"Central Turkey",earthquake,6.04,3.195,0.096,33,reviewed,us,us
2023-02-06T01:58:23.594Z,37.1023,36.6056,10,5.1,mb,65,121,0.488,0.72,us,us6000jlmf,2023-02-06T02:48:59.040Z,"6 km ESE of Hasanbeyli, Turkey",earthquake,6.15,1.867,0.072,62,reviewed,us,us
2023-02-06T02:01:45.663Z,37.3549,37.0939,10.358,4.8,mb,53,81,0.204,0.9,us,us6000jlmy,2023-02-06T03:14:00.040Z,"23 km SW of Pazarc?k, Turkey",earthquake,4.9,4.435,0.089,39,reviewed,us,us
2023-02-06T02:03:36.258Z,37.7769,37.9199,10,5.5,mb,64,45,0.827,0.8,us,us6000jlmh,2023-02-07T02:09:13.772Z,"2 km S of Tut, Turkey",earthquake,5.18,1.806,0.055,114,reviewed,us,us
2023-02-06T02:17:40.302Z,37.0791,36.6898,10,4.8,mb,39,191,0.426,0.69,us,us6000jlmm,2023-02-06T02:51:13.040Z,"10 km SSW of Nurda??, Turkey",earthquake,3.45,1.957,0.1,31,reviewed,us,us
2023-02-06T02:23:14.645Z,37.2035,36.9702,11.411,5.2,mb,107,36,0.194,0.81,us,us6000jlmn,2023-02-06T03:22:25.602Z,"21 km E of Nurda??, Turkey",earthquake,5.15,4.282,0.061,88,reviewed,us,us
2023-02-06T02:54:00.615Z,36.6379,36.3874,10,4.6,mb,87,72,0.848,1,us,us6000jlmv,2023-02-06T04:57:12.221Z,"15 km E of Denizciler, Turkey",earthquake,6.37,1.884,0.064,74,reviewed,us,us
2023-02-06T03:04:45.466Z,38.1844,38.4761,17.922,4.7,mb,91,66,1.425,0.86,us,us6000jln0,2023-02-06T03:36:13.040Z,"20 km NW of Sincik, Turkey",earthquake,6.21,4.213,0.067,67,reviewed,us,us
2023-02-06T03:10:21.025Z,37.7473,37.8035,21.433,4.4,mb,61,95,0.744,0.77,us,us6000jln6,2023-02-07T00:52:12.040Z,"7 km NW of Besni, Turkey",earthquake,5.14,4.493,0.08,45,reviewed,us,us
2023-02-06T03:12:12.595Z,37.4711,37.3091,12.567,4.5,mb,52,79,3.561,0.99,us,us6000jln3,2023-02-06T06:07:10.575Z,"1 km SSE of Pazarc?k, Turkey",earthquake,9.53,4.642,0.083,42,reviewed,us,us
2023-02-06T03:28:46.802Z,38.0757,38.5607,15.951,4.4,mb,26,145,1.402,0.58,us,us6000jln5,2023-02-06T04:23:56.040Z,"6 km NW of Sincik, Turkey",earthquake,5.98,5.029,0.149,13,reviewed,us,us
2023-02-06T03:45:48.563Z,38.1983,38.5977,15.415,4.8,mb,97,66,1.504,0.75,us,us6000jln9,2023-02-06T04:33:27.159Z,"18 km N of Sincik, Turkey",earthquake,5.44,4.074,0.07,63,reviewed,us,us
2023-02-06T04:04:23.657Z,37.7879,37.4088,14.137,4.3,mb,39,106,0.635,0.58,us,us6000jlnc,2023-02-06T04:20:28.040Z,"11 km ENE of Ça?layancerit, Turkey",earthquake,6.11,5.858,0.109,24,reviewed,us,us
2023-02-06T04:14:19.101Z,38.2387,38.581,16.715,4.4,mb,42,183,2.319,0.99,us,us6000jlne,2023-02-06T06:16:55.040Z,"22 km N of Sincik, Turkey",earthquake,8.94,6.142,0.101,28,reviewed,us,us
2023-02-06T04:16:49.487Z,37.5032,37.3323,13.215,4.5,mb,57,74,0.345,0.76,us,us6000jlnd,2023-02-06T04:39:00.585Z,"3 km ENE of Pazarc?k, Turkey",earthquake,5.37,5.371,0.093,34,reviewed,us,us
2023-02-06T04:18:46.788Z,38.2034,38.5363,14.464,5,mb,95,44,1.472,0.86,us,us6000jlnf,2023-02-06T19:50:36.936Z,"eastern Turkey",earthquake,6.57,4.287,0.057,99,reviewed,us,us
2023-02-06T04:39:47.705Z,37.8053,37.4694,14.865,4.3,mb,42,97,0.665,0.76,us,us6000jlnq,2023-02-06T06:34:43.040Z,"14 km W of Gölba??, Turkey",earthquake,2.98,5.708,0.105,26,reviewed,us,us
2023-02-06T04:47:57.486Z,36.7445,36.4537,10,4.4,mb,48,148,0.741,1.13,us,us6000jlns,2023-02-06T05:09:29.040Z,"8 km SW of Hassa, Turkey",earthquake,3.53,1.92,0.106,26,reviewed,us,us
2023-02-06T04:56:05.209Z,37.4399,37.1504,15.136,4.6,mb,58,71,0.271,0.88,us,us6000jlnu,2023-02-07T00:26:00.040Z,"14 km WSW of Pazarc?k, Turkey",earthquake,6.65,5.128,0.083,43,reviewed,us,us
2023-02-06T05:01:51.307Z,37.7637,37.9099,20.234,4.6,mb,52,99,0.812,0.63,us,us6000jlnv,2023-02-06T05:49:30.040Z,"Central Turkey",earthquake,5.84,5.119,0.073,56,reviewed,us,us
2023-02-06T05:22:50.001Z,37.7548,37.9481,10,4.4,mb,35,101,0.827,0.65,us,us6000jlnx,2023-02-06T15:52:05.040Z,"5 km SSE of Tut, Turkey",earthquake,3.34,1.912,0.11,24,reviewed,us,us
2023-02-06T05:31:23.531Z,38.1466,37.9304,10,4.4,mb,37,85,1.129,0.92,us,us6000jlnz,2023-02-06T16:08:17.040Z,"8 km NE of Do?an?ehir, Turkey",earthquake,3.07,1.91,0.118,21,reviewed,us,us
2023-02-06T05:36:33.996Z,36.3185,36.2325,10.617,4.6,mb,57,133,1.158,0.53,us,us6000jlp0,2023-02-06T05:56:51.040Z,"3 km E of Anayaz?, Turkey",earthquake,7.53,5.353,0.081,45,reviewed,us,us
2023-02-06T05:55:51.598Z,37.9912,38.4376,16.542,4.5,mb,51,104,1.273,0.58,us,us6000jlp1,2023-02-06T06:13:26.040Z,"16 km WSW of Sincik, Turkey",earthquake,4.74,4.727,0.093,34,reviewed,us,us
2023-02-06T06:26:10.752Z,36.5684,36.0133,10,4.6,mb,32,97,1.133,0.55,us,us6000jlp5,2023-02-06T10:49:17.040Z,"14 km W of ?skenderun, Turkey",earthquake,10.03,1.921,0.107,26,reviewed,us,us
2023-02-06T06:26:29.533Z,37.483,37.1811,10,4.6,mb,50,99,0.311,0.64,us,us6000jlsg,2023-02-06T15:34:10.040Z,"10 km W of Pazarc?k, Turkey",earthquake,5.34,1.915,0.095,33,reviewed,us,us
2023-02-06T06:54:57.488Z,37.6414,37.3835,10,4.8,mb,85,69,0.489,0.55,us,us6000jlp9,2023-02-06T07:16:55.040Z,"",earthquake,8.95,1.871,0.065,74,reviewed,us,us
2023-02-06T07:08:31.825Z,36.7072,36.6722,13.429,4.6,mb,61,157,0.633,0.5,us,us6000jlpb,2023-02-06T22:24:05.795Z,"12 km SE of A?a?? Karafak?l?, Turkey",earthquake,3.82,5.269,0.105,27,reviewed,us,us
2023-02-06T08:01:46.065Z,36.6629,36.477,10,4.5,mb,54,81,0.777,0.71,us,us6000jlpp,2023-02-06T10:38:08.040Z,"14 km SSW of A?a?? Karafak?l?, Turkey",earthquake,3.28,1.904,0.093,34,reviewed,us,us
2023-02-06T08:52:37.335Z,37.449,37.2334,10,4.8,mb,58,61,0.277,0.78,us,us6000jlpv,2023-02-06T09:31:48.040Z,"7 km SW of Pazarc?k, Turkey",earthquake,7.54,1.884,0.072,60,reviewed,us,us
2023-02-06T08:58:35.484Z,38.054,38.2569,15.265,4.5,mb,62,98,1.211,0.57,us,us6000jlpx,2023-02-06T14:34:04.040Z,"3 km NNE of Çelikhan, Turkey",earthquake,5.46,4.57,0.084,42,reviewed,us,us
2023-02-06T09:23:45.706Z,36.9839,36.4927,10,4.6,mb,54,78,0.603,0.84,us,us6000jlq1,2023-02-06T09:49:42.040Z,"Turkey-Syria border region",earthquake,5.61,1.882,0.086,40,reviewed,us,us
2023-02-06T09:36:16.401Z,37.1957,36.8183,10,4.3,mb,28,143,0.313,0.97,us,us6000jlq5,2023-02-06T10:41:01.284Z,"Central Turkey",earthquake,6.32,1.948,0.147,13,reviewed,us,us
2023-02-06T10:24:49.258Z,38.0235,37.203,10,7.5,mww,135,17,0.85,0.93,us,us6000jlqa,2023-02-07T01:24:05.062Z,"4 km SSE of Ekinözü, Turkey",earthquake,4.94,1.824,0.041,58,reviewed,us,us
2023-02-06T10:26:48.486Z,38.0302,37.9636,20.094,6,mb,59,63,1.045,0.62,us,us6000jm1y,2023-02-06T20:32:23.351Z,"Central Turkey",earthquake,2.91,4.649,0.084,53,reviewed,us,us
2023-02-06T10:35:58.653Z,38.0084,37.7505,10,5.8,mb,67,67,0.939,0.88,us,us6000jlqe,2023-02-06T18:15:14.717Z,"13 km SW of Do?an?ehir, Turkey",earthquake,4.9,1.844,0.057,112,reviewed,us,us
2023-02-06T10:51:30.942Z,38.1236,38.0529,12.336,5.7,mb,88,69,1.162,0.97,us,us6000jlql,2023-02-06T18:16:13.290Z,"16 km ENE of Do?an?ehir, Turkey",earthquake,5.65,4.266,0.051,139,reviewed,us,us
2023-02-06T11:01:34.428Z,37.4806,37.2218,10,5,mb,27,239,1.746,0.78,us,us6000jlqy,2023-02-06T18:10:00.466Z,"6 km W of Pazarc?k, Turkey",earthquake,14.65,1.982,0.15,14,reviewed,us,us
2023-02-06T11:05:35.742Z,37.9231,36.6909,10,5.2,mb,55,134,1.14,0.89,us,us6000jlqr,2023-02-06T18:18:05.114Z,"Central Turkey",earthquake,6.76,1.706,0.087,43,reviewed,us,us
2023-02-06T11:11:41.258Z,37.82,37.2952,17.971,4.9,mb,65,74,0.65,0.83,us,us6000jlqx,2023-02-06T18:17:14.832Z,"8 km N of Ça?layancerit, Turkey",earthquake,5.77,4.455,0.082,47,reviewed,us,us
2023-02-06T11:39:41.423Z,38.0562,36.5829,10,4.8,mb,54,48,0.982,0.6,us,us6000jlr7,2023-02-06T14:14:34.040Z,"8 km ENE of Göksun, Turkey",earthquake,4.99,1.868,0.08,48,reviewed,us,us
2023-02-06T11:58:36.837Z,38.0358,37.5511,10,4.8,mb,58,73,0.904,0.61,us,us6000jlrb,2023-02-06T13:22:26.040Z,"12 km NE of Nurhak, Turkey",earthquake,3.42,1.866,0.073,58,reviewed,us,us
2023-02-06T12:02:11.825Z,38.0605,36.537,10,6,mb,116,29,0.958,1,us,us6000jlrc,2023-02-07T01:58:19.797Z,"5 km NE of Göksun, Turkey",earthquake,4.4,1.811,0.027,513,reviewed,us,us
2023-02-06T12:13:47.350Z,37.9016,37.4176,10,4.8,mb,72,68,0.747,0.68,us,us6000jlrg,2023-02-06T12:52:12.040Z,"Central Turkey",earthquake,4.79,1.822,0.066,70,reviewed,us,us
2023-02-06T12:34:43.520Z,38.1116,38.244,13.017,4.9,mb,38,95,1.247,0.79,us,us6000jlrj,2023-02-06T18:18:34.081Z,"9 km N of Çelikhan, Turkey",earthquake,5.28,4.691,0.123,21,reviewed,us,us
2023-02-06T12:36:36.913Z,38.101,38.2227,10,4.7,mb,39,110,1.227,0.39,us,us6000jlrk,2023-02-06T13:07:01.040Z,"8 km N of Çelikhan, Turkey",earthquake,5.81,1.922,0.095,34,reviewed,us,us
2023-02-06T13:00:18.039Z,38.1181,36.6664,10,4.5,mb,24,96,0.975,0.97,us,us6000jlrt,2023-02-06T23:31:45.040Z,"Central Turkey",earthquake,7.29,1.93,0.124,19,reviewed,us,us
2023-02-06T13:07:44.998Z,37.9941,37.4183,17.1,5,mb,72,88,0.837,0.58,us,us6000jlrv,2023-02-06T18:14:11.793Z,"3 km NNW of Nurhak, Turkey",earthquake,3.99,4.206,0.06,88,reviewed,us,us
2023-02-06T13:11:56.766Z,37.9966,36.689,10,4.7,mb,50,69,0.921,0.7,us,us6000jlry,2023-02-06T16:29:54.040Z,"17 km E of Göksun, Turkey",earthquake,4.42,1.869,0.09,37,reviewed,us,us
2023-02-06T13:17:41.894Z,37.9123,36.3121,10,4.9,mb,76,30,1.007,0.83,us,us6000jls0,2023-02-06T15:20:26.286Z,"20 km SW of Göksun, Turkey",earthquake,3.36,1.86,0.064,77,reviewed,us,us
2023-02-06T13:39:11.346Z,37.5953,36.962,10,5.1,mb,45,60,0.466,0.9,us,us6000jls3,2023-02-06T18:20:09.404Z,"3 km ENE of Kahramanmara?, Turkey",earthquake,4.65,1.855,0.104,30,reviewed,us,us
2023-02-06T13:44:51.613Z,37.9272,37.5076,17.336,5,mb,76,76,0.79,0.52,us,us6000jls6,2023-02-06T18:19:44.917Z,"Central Turkey",earthquake,4.95,1.715,0.061,84,reviewed,us,us
2023-02-06T14:04:50.340Z,38.0339,36.5452,10,4.4,mb,46,72,0.984,0.74,us,us6000jls9,2023-02-06T17:26:32.040Z,"4 km ENE of Göksun, Turkey",earthquake,2.26,1.921,0.112,23,reviewed,us,us
2023-02-06T14:10:11.931Z,37.8331,37.4605,16.453,4.5,mb,48,89,0.689,0.64,us,us6000jlsb,2023-02-06T18:26:20.040Z,"14 km S of Nurhak, Turkey",earthquake,5.63,5.044,0.086,40,reviewed,us,us
2023-02-06T14:17:18.940Z,37.9517,37.3799,16.712,4.4,mb,44,88,0.783,0.7,us,us6000jlsd,2023-02-06T18:40:54.040Z,"5 km WSW of Nurhak, Turkey",earthquake,5.5,4.013,0.107,25,reviewed,us,us
2023-02-06T14:27:43.378Z,36.7725,36.5341,10,4.5,mb,59,71,0.672,0.96,us,us6000jlse,2023-02-06T20:03:37.040Z,"2 km WSW of A?a?? Karafak?l?, Turkey",earthquake,5.05,1.893,0.083,42,reviewed,us,us
2023-02-06T14:29:58.740Z,37.9949,36.5123,10,4.7,mb,39,95,0.991,1.11,us,us6000jlsf,2023-02-06T17:49:03.040Z,"3 km SSE of Göksun, Turkey",earthquake,3.37,1.888,0.086,41,reviewed,us,us
2023-02-06T14:41:57.408Z,38.1202,37.8325,10,4.4,mb,15,99,1.068,0.49,us,us6000jlsj,2023-02-06T18:03:15.040Z,"Central Turkey",earthquake,4.33,1.95,0.219,6,reviewed,us,us
2023-02-06T14:51:16.243Z,38.0912,38.4342,10,4.4,mb,23,115,1.337,1.25,us,us6000jlsl,2023-02-06T17:37:32.040Z,"16 km WNW of Sincik, Turkey",earthquake,2.83,1.957,0.126,18,reviewed,us,us
2023-02-06T14:57:47.066Z,37.9248,37.9099,10,4.5,mb,25,108,1.867,0.59,us,us6000jlsn,2023-02-06T17:54:08.040Z,"14 km N of Tut, Turkey",earthquake,6.66,1.933,0.135,16,reviewed,us,us
2023-02-06T15:14:34.430Z,37.8679,37.7388,10,5.3,mb,108,55,0.812,0.73,us,us6000jlsq,2023-02-06T18:21:03.780Z,"12 km NE of Gölba??, Turkey",earthquake,4.92,1.838,0.046,156,reviewed,us,us
2023-02-06T15:33:32.803Z,38.161,38.1869,8.774,5.2,mb,94,66,1.255,0.94,us,us6000jlsu,2023-02-06T15:49:49.040Z,"eastern Turkey",earthquake,3.93,4.267,0.061,88,reviewed,us,us
2023-02-06T16:06:43.568Z,38.0248,37.0728,10,4.3,mb,19,100,0.858,0.49,us,us6000jlsy,2023-02-06T17:43:52.040Z,"10 km WSW of Ekinözü, Turkey",earthquake,4.53,1.923,0.188,8,reviewed,us,us
2023-02-06T16:26:15.509Z,37.9847,36.9072,10,4.6,mb,88,61,0.846,0.58,us,us6000jlt5,2023-02-06T17:02:26.040Z,"26 km WSW of Ekinözü, Turkey",earthquake,6.3,1.863,0.074,55,reviewed,us,us
2023-02-06T16:26:39.603Z,38.0304,36.6206,10,4.8,mb,68,39,0.976,0.67,us,us6000jlt1,2023-02-06T16:45:58.040Z,"10 km E of Göksun, Turkey",earthquake,5.13,1.845,0.065,73,reviewed,us,us
2023-02-06T16:32:11.313Z,36.6111,36.4444,10,4.9,mb,51,93,0.831,0.97,us,us6000jlt7,2023-02-06T18:40:09.801Z,"14 km NNE of K?r?khan, Turkey",earthquake,8.01,1.87,0.063,79,reviewed,us,us
2023-02-06T16:43:29.298Z,37.9616,36.4753,10,5,mb,126,34,0.981,0.77,us,us6000jlta,2023-02-06T18:11:37.184Z,"6 km SSW of Göksun, Turkey",earthquake,3.3,1.655,0.047,143,reviewed,us,us
2023-02-06T16:55:37.348Z,38.0975,37.4326,16.247,4.5,mb,82,67,1.455,0.51,us,us6000jlth,2023-02-06T20:45:06.040Z,"14 km N of Nurhak, Turkey",earthquake,6.06,4.438,0.077,49,reviewed,us,us
2023-02-06T17:11:47.700Z,37.9232,37.3396,10,4.3,mb,38,64,0.757,1.02,us,us6000jlu3,2023-02-06T21:59:24.040Z,"9 km WSW of Nurhak, Turkey",earthquake,5.49,1.955,0.133,16,reviewed,us,us
2023-02-06T17:22:01.451Z,38.0974,36.478,10,4.1,mb,24,77,0.902,1.1,us,us6000jlww,2023-02-06T21:54:09.040Z,"Central Turkey",earthquake,3.91,1.914,0.175,9,reviewed,us,us
2023-02-06T17:26:24.437Z,38.0896,36.7014,10,4.7,mb,80,42,1.001,0.97,us,us6000jlwh,2023-02-06T21:59:00.040Z,"19 km ENE of Göksun, Turkey",earthquake,4.69,1.844,0.067,67,reviewed,us,us
2023-02-06T17:31:33.226Z,36.967,36.7482,10,4.5,mb,56,86,0.422,1.24,us,us6000jly1,2023-02-06T22:01:25.040Z,"17 km WNW of Musabeyli, Turkey",earthquake,4.41,1.93,0.099,30,reviewed,us,us
2023-02-06T17:46:49.973Z,38.0906,37.855,10,4.5,mb,51,83,1.05,1.09,us,us6000jm13,2023-02-06T22:15:27.040Z,"1 km WNW of Do?an?ehir, Turkey",earthquake,3.92,1.717,0.11,24,reviewed,us,us
2023-02-06T18:02:44.519Z,38.1001,36.4785,10,4.4,mb,39,72,0.9,0.64,us,us6000jm1n,2023-02-06T22:17:58.040Z,"",earthquake,6.07,1.922,0.112,23,reviewed,us,us
2023-02-06T18:03:53.837Z,37.9794,36.45,10,5.3,mww,110,20,0.992,0.75,us,us6000jm1p,2023-02-06T23:07:02.823Z,"6 km SW of Göksun, Turkey",earthquake,2.93,1.81,0.098,10,reviewed,us,us
2023-02-06T19:15:47.703Z,37.9712,36.3823,10,4.4,mb,34,79,0.975,0.93,us,us6000jm1w,2023-02-06T22:33:15.040Z,"Central Turkey",earthquake,3.72,1.806,0.12,20,reviewed,us,us
2023-02-06T19:30:59.956Z,38.0636,37.334,10,4.4,mb,53,82,0.895,0.95,us,us6000jm1z,2023-02-06T22:35:20.040Z,"12 km E of Ekinözü, Turkey",earthquake,4.01,1.917,0.098,31,reviewed,us,us
2023-02-06T19:35:50.692Z,37.4716,37.1628,10,4.3,mb,43,59,0.301,0.69,us,us6000jm21,2023-02-06T22:39:01.069Z,"12 km W of Pazarc?k, Turkey",earthquake,3.19,1.912,0.111,23,reviewed,us,us
